"kMaxLookAroundSteps","seeding.opt","settling.option","kNumSettlers"
10,1,1,100
20,1,1,100
30,1,1,100
40,1,1,100
50,1,1,100
10,2,1,100
20,2,1,100
30,2,1,100
40,2,1,100
50,2,1,100
10,3,1,100
20,3,1,100
30,3,1,100
40,3,1,100
50,3,1,100
10,4,1,100
20,4,1,100
30,4,1,100
40,4,1,100
50,4,1,100
10,1,2,100
20,1,2,100
30,1,2,100
40,1,2,100
50,1,2,100
10,2,2,100
20,2,2,100
30,2,2,100
40,2,2,100
50,2,2,100
10,3,2,100
20,3,2,100
30,3,2,100
40,3,2,100
50,3,2,100
10,4,2,100
20,4,2,100
30,4,2,100
40,4,2,100
50,4,2,100
10,1,3,100
20,1,3,100
30,1,3,100
40,1,3,100
50,1,3,100
10,2,3,100
20,2,3,100
30,2,3,100
40,2,3,100
50,2,3,100
10,3,3,100
20,3,3,100
30,3,3,100
40,3,3,100
50,3,3,100
10,4,3,100
20,4,3,100
30,4,3,100
40,4,3,100
50,4,3,100
10,1,1,200
20,1,1,200
30,1,1,200
40,1,1,200
50,1,1,200
10,2,1,200
20,2,1,200
30,2,1,200
40,2,1,200
50,2,1,200
10,3,1,200
20,3,1,200
30,3,1,200
40,3,1,200
50,3,1,200
10,4,1,200
20,4,1,200
30,4,1,200
40,4,1,200
50,4,1,200
10,1,2,200
20,1,2,200
30,1,2,200
40,1,2,200
50,1,2,200
10,2,2,200
20,2,2,200
30,2,2,200
40,2,2,200
50,2,2,200
10,3,2,200
20,3,2,200
30,3,2,200
40,3,2,200
50,3,2,200
10,4,2,200
20,4,2,200
30,4,2,200
40,4,2,200
50,4,2,200
10,1,3,200
20,1,3,200
30,1,3,200
40,1,3,200
50,1,3,200
10,2,3,200
20,2,3,200
30,2,3,200
40,2,3,200
50,2,3,200
10,3,3,200
20,3,3,200
30,3,3,200
40,3,3,200
50,3,3,200
10,4,3,200
20,4,3,200
30,4,3,200
40,4,3,200
50,4,3,200
10,1,1,300
20,1,1,300
30,1,1,300
40,1,1,300
50,1,1,300
10,2,1,300
20,2,1,300
30,2,1,300
40,2,1,300
50,2,1,300
10,3,1,300
20,3,1,300
30,3,1,300
40,3,1,300
50,3,1,300
10,4,1,300
20,4,1,300
30,4,1,300
40,4,1,300
50,4,1,300
10,1,2,300
20,1,2,300
30,1,2,300
40,1,2,300
50,1,2,300
10,2,2,300
20,2,2,300
30,2,2,300
40,2,2,300
50,2,2,300
10,3,2,300
20,3,2,300
30,3,2,300
40,3,2,300
50,3,2,300
10,4,2,300
20,4,2,300
30,4,2,300
40,4,2,300
50,4,2,300
10,1,3,300
20,1,3,300
30,1,3,300
40,1,3,300
50,1,3,300
10,2,3,300
20,2,3,300
30,2,3,300
40,2,3,300
50,2,3,300
10,3,3,300
20,3,3,300
30,3,3,300
40,3,3,300
50,3,3,300
10,4,3,300
20,4,3,300
30,4,3,300
40,4,3,300
50,4,3,300
10,1,1,400
20,1,1,400
30,1,1,400
40,1,1,400
50,1,1,400
10,2,1,400
20,2,1,400
30,2,1,400
40,2,1,400
50,2,1,400
10,3,1,400
20,3,1,400
30,3,1,400
40,3,1,400
50,3,1,400
10,4,1,400
20,4,1,400
30,4,1,400
40,4,1,400
50,4,1,400
10,1,2,400
20,1,2,400
30,1,2,400
40,1,2,400
50,1,2,400
10,2,2,400
20,2,2,400
30,2,2,400
40,2,2,400
50,2,2,400
10,3,2,400
20,3,2,400
30,3,2,400
40,3,2,400
50,3,2,400
10,4,2,400
20,4,2,400
30,4,2,400
40,4,2,400
50,4,2,400
10,1,3,400
20,1,3,400
30,1,3,400
40,1,3,400
50,1,3,400
10,2,3,400
20,2,3,400
30,2,3,400
40,2,3,400
50,2,3,400
10,3,3,400
20,3,3,400
30,3,3,400
40,3,3,400
50,3,3,400
10,4,3,400
20,4,3,400
30,4,3,400
40,4,3,400
50,4,3,400
10,1,1,500
20,1,1,500
30,1,1,500
40,1,1,500
50,1,1,500
10,2,1,500
20,2,1,500
30,2,1,500
40,2,1,500
50,2,1,500
10,3,1,500
20,3,1,500
30,3,1,500
40,3,1,500
50,3,1,500
10,4,1,500
20,4,1,500
30,4,1,500
40,4,1,500
50,4,1,500
10,1,2,500
20,1,2,500
30,1,2,500
40,1,2,500
50,1,2,500
10,2,2,500
20,2,2,500
30,2,2,500
40,2,2,500
50,2,2,500
10,3,2,500
20,3,2,500
30,3,2,500
40,3,2,500
50,3,2,500
10,4,2,500
20,4,2,500
30,4,2,500
40,4,2,500
50,4,2,500
10,1,3,500
20,1,3,500
30,1,3,500
40,1,3,500
50,1,3,500
10,2,3,500
20,2,3,500
30,2,3,500
40,2,3,500
50,2,3,500
10,3,3,500
20,3,3,500
30,3,3,500
40,3,3,500
50,3,3,500
10,4,3,500
20,4,3,500
30,4,3,500
40,4,3,500
50,4,3,500
