Laboratory_ id,Sample_id,Lake,Fish_species_common_name,Fish_species_latin_name,Site_name_or_number,Date_fish_sampled,Gutted_ashed_fish_mass_in_grams,Gutted_fresh_fish_mass_in_grams,Ratio_of_wet_fish_mass_to_ashed_fish_mass ,Li_mg_kg_quantitative,Be_<,Be_mg_kg_quantitative,Na_ICPOES_mg_kg_quantitative,Mg_ICPOES_mg_kg_quantitative,Al_<,Al_mg_kg_quantitative,P_ICPOES_mg_kg_quantitative,S_mg_kg_semi_quantitative,K_ICPOES_mg_kg_quantitative,Ca_ICPOES_mg_kg_quantitative,Ti_mg_kg_quantitative,Mn_mg_kg_quantitative,Fe_ICPOES_mg_kg_quantitative,Co_<,Co_mg_kg_quantitative,Ni_<,Ni_mg_kg_quantitative,Cu_mg_kg_quantitative,Zn_mg_kg_quantitative,Se_<,Se_mg_kg_quantitative,Br_<,Br_mg_kg_semi_quantitative,Rb_mg_kg_quantitative,Sr_mg_kg_quantitative,Y_mg_kg_semi_quantitative,Zr_<,Zr_mg_kg_semi_quantitative,Nb_<,Nb_mg_kg_semi_quantitative,Mo_<,Mo_mg_kg_quantitative,Rh_<,Rh_mg_kg_semi_quantitative,Pd_<,Pd_mg_kg_semi_quantitative,Cd_mg_kg_quantitative,Sn_<,Sn_mg_kg_semi_quantitative,Sb_<,Sb_mg_kg_quantitative,Cs_mg_kg_quantitative,Ba_mg_kg_quantitative,La_<,La_mg_kg_quantitative,Ce_<,Ce_mg_kg_quantitative,Pr_<,Pr_mg_kg_quantitative,Nd_<,Nd_mg_kg_semi_quantitative,Sm_<,Sm_mg_kg_semi_quantitative,Eu_<,Eu_mg_kg_semi_quantitative,Gd_<,Gd_mg_kg_semi_quantitative,Tb_<,Tb_mg_kg_semi_quantitative,Dy_<,Dy_mg_kg_semi_quantitative,Ho_<,Ho_mg_kg_semi_quantitative,Er_<,Er_mg_kg_semi_quantitative,W_<,W_mg_kg_quantitative,Tl_<,Tl_mg_kg_semi_quantitative,Pb_mg_kg_quantitative,U_<,U_mg_kg_quantitative
el32412x10,RCK17,Derwent Water,Roach,Rutilus rutilus,Site 3,05/09/2012,2.59,68.3,26.4,7.70E-01,<,8.73E-04,6.30E+02,3.60E+02,,4.25E-01,6.60E+03,2.36E+02,2.58E+03,1.05E+04,1.60E+01,7.85E+00,8.69E+00,,3.41E-04,<,7.59E-05,5.69E-01,3.55E+01,,2.31E-02,,1.22E+00,6.45E+00,3.47E+01,4.94E-04,,1.06E-03,<,3.44E-05,,1.21E-02,,1.14E-04,,6.08E-04,2.61E-02,,9.46E-03,<,2.66E-04,4.82E-02,1.56E+00,,2.20E-03,,1.75E-03,,3.79E-04,,7.98E-04,,3.80E-05,,3.80E-05,,1.52E-04,,3.80E-05,,1.14E-04,<,3.79E-05,,3.80E-05,<,4.93E-04,,3.04E-04,2.67E-02,,1.90E-04
el32409x10,RCK18,Derwent Water,Roach,Rutilus rutilus,Site 2,05/09/2012,2.74,83.8,30.6,1.92E+00,<,7.52E-04,5.76E+02,3.34E+02,,3.34E-01,5.62E+03,2.38E+02,2.71E+03,8.63E+03,1.30E+01,1.30E+01,8.37E+00,,5.89E-04,<,6.54E-05,6.25E-01,3.86E+01,,2.32E-02,,1.10E+00,8.60E+00,3.13E+01,3.93E-04,,8.52E-04,,2.62E-04,,1.28E-02,,6.55E-05,,2.95E-04,2.72E-02,,1.35E-02,<,2.29E-04,6.28E-02,1.45E+00,,1.37E-03,,1.14E-03,,2.94E-04,,4.91E-04,,1.31E-04,,1.31E-04,,1.97E-04,,1.31E-04,,1.31E-04,,9.83E-05,,6.55E-05,,1.11E-03,,9.83E-05,3.89E-02,,1.64E-04
el32414x10,RCK19,Derwent Water,Roach,Rutilus rutilus,Site 5,05/09/2012,5.26,132.2,25.1,3.15E-01,<,9.15E-04,5.17E+02,3.84E+02,,3.67E-01,6.93E+03,2.71E+02,2.81E+03,1.12E+04,1.64E+01,6.61E+00,9.87E+00,,2.63E-03,<,7.96E-05,4.54E-01,2.91E+01,,3.43E-02,,1.17E+00,3.22E+01,3.22E+01,3.19E-04,,1.64E-03,<,3.62E-05,,9.47E-03,,1.20E-04,,5.19E-04,4.22E-02,,7.82E-03,<,2.79E-04,7.40E-02,1.51E+00,,1.83E-03,,1.23E-03,,2.39E-04,,6.78E-04,,7.98E-05,,7.98E-05,,7.98E-05,<,3.98E-05,,7.98E-05,,3.99E-05,,3.99E-05,,8.76E-04,,2.75E-03,8.96E-02,,3.98E-04
el32411x10,RCK20,Derwent Water,Roach,Rutilus rutilus,Site 3,05/09/2012,9.11,183.9,20.2,1.63E-01,<,1.14E-03,6.09E+02,3.97E+02,,7.13E-01,8.42E+03,3.59E+02,2.56E+03,1.49E+04,2.14E+01,5.40E+00,1.23E+01,<,9.91E-05,<,9.91E-05,3.69E-01,2.37E+01,,6.84E-02,,2.11E+00,9.21E+00,4.14E+01,5.45E-04,,1.58E-03,<,4.49E-05,,8.27E-03,,1.49E-04,,7.92E-04,4.34E-02,,4.26E-03,<,3.47E-04,1.32E-01,1.59E+00,,2.38E-03,,1.63E-03,,2.97E-04,,7.43E-04,,1.49E-04,,4.95E-05,,1.49E-04,<,4.95E-05,,1.49E-04,,4.95E-05,,4.95E-05,<,6.44E-04,,2.13E-03,2.16E-01,,1.98E-04
el32413x10,RCK21,Derwent Water,Roach,Rutilus rutilus,Site 5,05/09/2012,1.89,44.5,23.6,6.75E-01,<,9.76E-04,5.01E+02,3.95E+02,,4.63E-01,7.30E+03,3.80E+02,3.04E+03,1.18E+04,1.81E+01,5.86E+00,8.19E+00,<,8.49E-05,<,8.49E-05,7.00E-01,3.84E+01,,3.35E-02,,1.23E+00,9.59E+00,3.97E+01,2.98E-04,,7.65E-04,,4.25E-05,,9.64E-03,,4.25E-05,,6.80E-04,2.48E-02,,1.63E-02,<,2.97E-04,8.19E-02,1.52E+00,,1.70E-03,,1.23E-03,,4.67E-04,,5.95E-04,,2.13E-04,,4.25E-04,,3.40E-04,,3.83E-04,,3.83E-04,,4.25E-04,,3.83E-04,<,5.52E-04,,2.08E-03,3.85E-02,,1.27E-04
el32407x10,RCK22,Derwent Water,Roach,Rutilus rutilus,Site 2,05/09/2012,1.41,34.3,24.3,5.42E-01,<,9.45E-04,5.14E+02,3.88E+02,,1.01E+00,7.07E+03,3.86E+02,2.87E+03,1.14E+04,1.67E+01,7.40E+00,1.04E+01,,3.70E-04,<,8.22E-05,6.90E-01,3.54E+01,,4.02E-02,,9.38E-01,8.18E+00,3.79E+01,7.76E-04,,1.35E-03,,1.23E-04,,9.86E-03,,1.63E-04,,1.23E-04,3.16E-02,,8.09E-03,<,2.88E-04,6.49E-02,1.55E+00,,1.68E-03,,1.36E-03,,4.52E-04,,8.17E-04,,4.49E-04,,3.27E-04,,3.68E-04,,3.27E-04,,2.86E-04,,3.68E-04,,2.04E-04,,1.44E-03,,8.99E-04,1.03E-01,,1.64E-04
el32406x10,RCK23,Derwent Water,Roach,Rutilus rutilus,Site 2,05/09/2012,1.20,30.2,25.1,4.38E-01,<,9.15E-04,5.49E+02,3.94E+02,,3.41E+00,6.81E+03,4.85E+02,2.77E+03,1.07E+04,1.64E+01,8.36E+00,1.03E+01,,3.98E-04,<,7.96E-05,3.77E-01,3.47E+01,,2.85E-02,,5.71E-01,7.12E+00,3.35E+01,8.37E-04,,1.51E-03,<,3.61E-05,,1.09E-02,,1.99E-04,,7.18E-04,3.01E-02,,1.07E-02,<,2.79E-04,5.85E-02,1.41E+00,,2.79E-03,,2.67E-03,,6.77E-04,,1.44E-03,,4.78E-04,,2.79E-04,,1.99E-04,,2.39E-04,,4.39E-04,,3.99E-04,,2.39E-04,,2.31E-03,,1.04E-03,5.81E-02,,1.99E-04
el32405x10,RCK24,Derwent Water,Roach,Rutilus rutilus,Site 2,05/09/2012,1.28,33.2,26.0,6.55E-01,<,8.86E-04,4.97E+02,3.84E+02,,6.12E-01,6.63E+03,3.46E+02,2.75E+03,1.05E+04,1.61E+01,5.62E+00,9.28E+00,,6.55E-04,<,7.70E-05,3.93E-01,3.58E+01,,2.62E-02,,5.50E-01,6.55E+00,3.39E+01,5.80E-04,,1.93E-04,,3.87E-05,,9.59E-03,,1.16E-04,,3.87E-04,2.95E-02,,1.10E-02,<,2.70E-04,4.47E-02,1.64E+00,,1.54E-03,,1.04E-03,,3.08E-04,,6.97E-04,<,3.85E-05,,1.55E-04,,1.93E-04,,1.16E-04,,3.87E-05,,1.16E-04,,1.55E-04,,8.47E-04,,7.74E-05,5.89E-02,,2.70E-04
el32410x10,RCK25,Derwent Water,Roach,Rutilus rutilus,Site 2,05/09/2012,21.3,448.5,21.1,6.17E-01,<,1.09E-03,7.12E+02,3.99E+02,,2.63E-01,8.21E+03,2.68E+02,2.70E+03,1.43E+04,2.07E+01,2.07E+01,1.00E+01,<,9.49E-05,<,9.49E-05,6.31E-01,2.43E+01,,2.62E-02,,1.07E+00,5.84E+00,5.03E+01,2.83E-04,,2.26E-03,<,4.28E-05,,1.68E-02,,1.89E-04,,1.89E-04,3.44E-02,,7.36E-03,<,3.32E-04,4.69E-02,4.67E+00,,1.04E-03,,8.07E-04,,1.42E-04,,1.89E-04,,1.42E-04,,9.43E-05,,9.43E-05,<,4.75E-05,,4.72E-05,<,4.75E-05,<,4.75E-05,,4.32E-03,,9.43E-05,1.29E-01,,5.22E-04
el32408x10,RCK26,Derwent Water,Roach,Rutilus rutilus,Site 2,05/09/2012,2.08,53.5,25.7,7.04E-01,<,8.95E-04,5.60E+02,3.63E+02,,1.82E+00,6.65E+03,3.06E+02,2.72E+03,1.09E+04,1.62E+01,1.62E+01,9.11E+00,,1.56E-04,<,7.78E-05,6.93E-01,3.32E+01,,2.12E-02,,1.04E+00,7.67E+00,3.89E+01,6.23E-04,,5.45E-04,,1.56E-04,,1.02E-02,,1.56E-04,,3.51E-04,1.95E-02,,1.31E-02,<,2.72E-04,6.58E-02,2.09E+00,,1.91E-03,,1.67E-03,,3.11E-04,,4.28E-04,,1.17E-04,,7.79E-05,,1.56E-04,,3.89E-05,,3.89E-05,,3.89E-05,<,3.89E-05,,9.34E-04,<,3.89E-05,5.56E-02,,5.06E-04
