pcode,Records,Species,Observers,Datasets
SA73,4,2,2,2
SA73,4,2,2,2
M50,51,40,3,3
DG1,56,37,1,5
BS23,5147,446,2,8
HU15,6,3,1,1
L24,39,24,2,3
WA55,76,50,5,8
LD2,23,16,1,2
HA9,2,2,1,2
IV49,63,62,3,4
EH3,232,202,4,8
GL12,144,53,0,3
SL3,93,86,1,5
KY99,24,16,4,9
L70,36,19,3,5
LL19,16,14,2,4
NG8,408,41,2,7
PE12,9,6,2,4
CW98,23,17,1,3
BN51,42,25,4,10
L70,963,452,4,8
DG7,138,84,1,7
CR2,26,8,1,4
LL42,187,170,4,3
YO90,5,4,2,4
SS1,74,8,3,5
FY4,272,156,3,6
CH99,11,8,2,4
G60,52,30,3,7
LS98,433,61,1,6
SN99,3,2,2,2
BS15,98,88,1,1
IV11,39,9,7,3
SA72,70,65,4,2
RM7,3,3,2,3
CH31,41,15,1,5
KT10,30,16,1,9
M99,120,99,8,12
CR9,120,13,1,6
M61,59,50,5,5
L80,407,188,3,5
SE24,6,2,1,2
EC3P,4,3,2,3
NE99,3,1,1,2
EC2P,3,2,1,2
L67,570,185,4,7
G31,44,12,1,4
CT50,7,6,1,3
YO24,12,5,1,4
BS99,1817,336,2,4
B42,16,16,1,3
EH5,1,1,1,1
M60,77,61,7,10
EH5,1,1,1,1
BL11,144,104,6,8
SS16,297,29,1,5
LE87,156,67,1,16
PA16,6,5,0,2
CB1,208,86,4,8
SL95,561,281,1,5
CF99,23,22,7,4
NE99,26,19,1,7
TQ8,83,7,2,6
KT3,27,7,1,5
KT3,27,7,1,5
PH30,3084,672,20,18
LL30,119,55,2,2
KY99,3,2,1,3
AB11,108,61,1,8
AB11,108,61,1,8
CR9,26,6,1,4
CR9,26,6,1,4
DA11,15,10,4,5
TR11,128,83,3,5
LL56,4,3,3,3
KY14,16,6,2,3
BD99,1,1,1,1
DA12,44,33,1,4
PO6,79,13,3,5
LL47,2,1,1,1
W1A,3,1,1,2
ME8,14,6,1,2
SO15,45,26,1,5
PO9,24,13,1,3
M38,47,38,3,5
LE2,309,84,3,15
EH38,968,337,8,21
S99,64,28,2,7
SS99,165,121,3,9
L74,2179,555,9,10
PR3,74,46,1,3
DT4,76,71,3,3
LL32,50,44,1,1
GL14,190,77,1,4
CM6,13,9,1,4
IV54,24,20,5,6
PA73,88,80,3,4
NG90,98,33,11,14
NG90,98,33,11,14
PH25,16925,2032,188,61
PL10,231,155,3,3
PL11,15,9,2,3
SA71,848,322,18,5
ZE1,36,36,4,3
TR21,211,95,5,2
PH22,19187,3175,304,77
PO4,212,103,14,14
PA31,417,48,3,2
PH34,4850,1007,64,33
DG6,154,23,0,4
FK12,950,169,13,19
PO16,75,20,3,5
TS6,48,33,2,5
EH4,1,1,1,1
EH24,999,335,16,22
PA76,41,24,2,8
ZE2,33,33,2,2
TR12,654,316,9,15
PA34,61,42,5,7
IV26,33,30,2,4
LL70,181,99,1,1
PL27,149,102,2,1
IV49,2,2,0,2
TA17,125,45,4,12
PL34,29,29,2,2
HS5,5,5,1,1
PA66,2,2,1,1
PA66,2,2,1,1
IV54,5,3,2,3
HS2,60,42,2,4
PA42,11,5,2,3
HS7,208,69,1,1
PA68,6,6,3,2
IV22,18,17,4,4
HS8,3,3,1,1
IV27,61,34,4,3
TR24,309,124,3,3
PH5,564,93,15,17
CF64,140,73,5,8
HS6,42,17,0,6
ZE2,11,7,2,3
IV49,15,11,6,6
ZE1,903,131,3,2
PA73,567,362,5,7
TA8,2536,875,2,5
TA8,2536,875,2,5
LA13,75,32,2,4
KW17,4,4,2,1
NE69,81,47,3,4
IV26,1,1,1,1
PH41,2386,677,17,18
EH27,2768,710,14,29
IV40,8,7,4,4
IV54,4,4,3,2
CH47,142,113,7,8
TS29,454,181,10,13
BH13,2324,1186,60,23
LL56,5678,430,24,26
PA22,233,61,7,5
EH37,4253,965,45,37
IV44,2880,844,59,28
DN17,246,72,7,10
DN17,246,72,7,10
ML10,3370,568,29,36
LD4,4583,741,16,32
PA76,12,9,2,5
KW16,366,199,9,12
KW17,78,50,5,3
KW17,32,14,3,5
ZE3,22,10,4,3
PA65,124,27,2,6
HS3,93,58,3,3
CF41,367,218,20,13
IV26,35,23,4,7
LL71,1481,275,16,32
PL22,2631,571,22,36
PA28,157,92,2,5
PL22,2631,571,22,36
PH13,2896,698,105,35
KA26,117,72,6,9
IV27,6,5,3,2
EH39,40,31,2,4
ML9,2093,449,21,28
CA23,1171,409,20,30
HX5,220,120,11,15
HS9,11,3,2,2
EH26,8159,1282,67,49
LL34,609,102,9,19
WS8,579,103,12,19
HU10,1563,89,8,20
CF46,3109,387,35,31
DE3,2411,387,13,30
CB9,11765,1164,20,33
OL13,9850,992,14,28
AB56,5823,716,42,43
PA10,2356,251,16,25
ME12,5329,479,40,49
LL17,1776,401,32,33
LL17,1776,401,32,33
EH23,6295,1134,44,35
B80,3318,917,16,23
NP44,3768,366,23,31
FK4,2262,364,22,31
NE35,411,72,6,20
PA34,592,204,11,8
PA61,37,19,4,6
IV27,76,41,4,11
TN28,1384,389,19,39
PE10,6589,498,37,45
OX49,3336,694,29,41
HS6,6,6,1,1
EX1,2626,112,14,30
GU7,3022,374,20,45
PL21,5529,692,40,50
CF45,4767,433,26,26
TD9,15385,1698,382,51
DN20,3431,508,30,35
EX11,2888,217,21,39
TR10,2353,509,25,31
TS9,6944,515,22,30
EX18,1267,227,12,31
RM4,1955,258,16,27
HS6,11,10,3,1
HS4,984,274,7,15
CF39,2158,332,26,25
KA2,2463,426,36,27
WC1E,260,49,5,15
NP22,2418,487,26,21
KA5,4421,639,50,29
KA5,4421,639,50,29
GU52,2925,166,18,32
OX9,5533,485,15,35
AL7,4510,283,11,26
NE69,1765,356,18,24
NE31,312,50,5,15
EX36,3657,475,18,34
ZE2,24,10,2,3
DH8,6147,585,34,39
SN11,3313,345,39,36
LD1,14596,1830,81,60
SA70,1117,366,14,12
S21,4627,894,30,42
S21,4627,894,30,42
ML2,2101,349,15,30
IP25,5383,484,25,40
IP33,10934,1697,19,34
IP25,5383,484,25,40
IP33,10934,1697,19,34
EH2,576,199,22,26
EH2,576,199,22,26
BN10,1759,112,12,23
EH53,3269,721,21,36
GL12,31843,3150,36,50
HD9,7109,417,27,40
KA20,1069,403,21,18
ZE2,25,15,4,3
NE23,1656,217,22,33
BS30,49124,1821,23,39
SG11,7480,406,24,37
CF71,5935,612,60,43
IV22,85,50,5,9
BN1,4941,572,58,51
SM7,3130,262,13,33
PE9,14943,1714,85,73
PE9,14943,1714,85,73
NP4,7149,654,42,42
IV51,837,300,17,15
SL5,10820,1037,62,46
WA13,4244,505,24,40
RH4,3926,644,47,47
LD3,39569,2541,141,70
TA21,3321,285,24,41
EN6,5531,431,17,34
BH18,4296,500,82,29
YO16,1503,181,14,22
PE23,3307,458,24,37
CV34,3067,337,20,35
CV34,3067,337,20,35
CV34,3067,337,20,35
HR3,13783,1716,90,68
ME20,3275,424,27,46
PA77,125,43,2,5
HS3,131,70,5,2
DE15,4400,786,19,40
SA69,2123,434,16,27
BH4,828,216,31,22
PA41,557,184,8,15
PA20,313,104,7,6
RG21,1846,89,9,21
HD6,790,171,24,29
PH44,433,176,14,6
TW11,2258,629,33,42
PL15,13703,885,37,53
SG9,11054,590,25,39
CB4,3426,330,40,37
PO32,1152,293,16,23
KY11,4644,423,84,40
SS11,1007,101,7,22
SS15,955,61,6,18
E12,376,64,12,25
LL29,2216,296,25,26
MK3,5409,820,8,21
CT6,3813,348,32,48
SY2,7360,1702,206,27
SR3,1699,122,12,23
WV13,317,45,4,12
DT9,9863,962,29,43
CO16,2862,255,29,36
CO16,2862,255,29,36
CH48,2140,235,29,29
PR26,26526,1411,19,32
HX3,851,169,23,27
WR11,23193,1771,56,51
WR11,23193,1771,56,51
RG24,5804,441,39,46
M18,753,327,13,24
EX7,3115,457,37,43
FY2,4881,937,12,26
PH41,2913,806,39,28
WR1,3837,885,17,23
OX14,7884,948,73,55
BA4,4570,467,25,36
ZE2,14,10,2,1
L19,7334,1495,16,25
CB5,3067,311,30,36
CT11,1424,255,19,35
KA27,951,382,17,9
WN5,16204,1527,46,39
HR8,10306,1534,61,48
TD13,5512,1231,33,28
ZE2,1591,427,36,13
ZE2,1591,427,36,13
TN27,9613,1003,40,52
HG4,10294,1395,87,52
NE20,3159,332,21,33
NE68,1241,254,46,8
EX3,1772,229,19,36
SE20,639,110,11,27
DA17,868,106,12,20
LA6,21076,1880,94,55
OX13,8815,1011,61,52
PA73,1013,196,5,10
AB43,16662,1143,55,51
DE55,12199,1190,49,55
ST2,1233,125,8,21
GU8,15607,1966,97,60
DE56,15052,1128,49,54
IP18,38576,2980,35,37
WS3,1302,168,11,25
SY1,7609,2012,218,27
NN11,6998,903,38,45
SR4,685,194,14,24
FK1,4881,680,41,42
TF9,21907,1679,227,39
IV54,660,348,18,13
RG31,2936,328,22,32
PA34,1292,296,11,13
TS5,1357,211,17,26
FY4,8267,1235,17,29
YO10,1554,209,49,29
YO10,1554,209,49,29
LL42,981,472,28,29
S4,503,217,17,29
GL3,26102,2172,32,40
WF4,4339,398,45,36
SG12,33490,799,44,50
PA77,79,17,3,9
TR18,2208,353,26,30
PA65,1354,448,32,11
G31,914,108,12,19
L25,32596,2053,19,30
NG32,9636,873,66,51
GL1,11400,1420,16,26
GL1,11400,1420,16,26
KA12,4817,548,54,29
TR16,8195,834,33,42
CM14,1511,194,19,26
YO25,12504,526,59,45
NR33,50361,2808,36,36
CV1,454,215,5,13
DT7,2513,777,33,43
SA33,15316,1233,69,52
GU10,13081,1819,90,61
RM8,668,56,3,18
SY23,23966,2118,93,67
TN34,3673,686,33,35
IV27,4477,727,73,21
ME3,8097,702,44,56
IP6,56158,3024,41,42
GU2,3124,157,20,36
LN8,10262,758,58,48
KT22,4579,683,54,53
CW8,7064,476,60,39
CW8,7064,476,60,39
GU11,4097,194,24,36
GU9,5203,781,29,45
