STATION,LOCAL_NUM,RIVER,LOCATION,EASTING,NORTHING,NGR,SQ_KM,HA,OPERATOR,OPENED,CLOSED,ALTITUDE,TYPE,BF_FLOW,SF_FLOW,SENSITIVITY,NHMP,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,FAR,FEH_POOLING,FEH_QMED,FEH_NEITHER,START_YEAR,END_YEAR,GDF_COMPLETENESS,MEAN_FLOW,MIN_FLOW,MAX_FLOW,Q95,Q70,Q50,Q10,BASE_FLOW_INDEX,SAAR6190,SAAR4170,PROPWET,SMDBAR,BFIHOST,FARL,HIGH_PERM_BED,MOD_PERM_BED,LOW_PERM_BED,HIGH_PERM_SUP,LOW_PERM_SUP,MIXED_PERM_SUP,MIN_ALT,ALT_10_PERCENTILE,ALT_50_PERCENTILE,ALT_90_PERCENTILE,MAX_ALT,WOODLAND,ARABLE_HORT,GRASS,MOUNTAIN_HEATH_BOG,URBAN,DPSBAR,QMED
1001,234324,Wick,Tarroul,326200,954900,ND262025,161.9,1,SEPA-NW,01/11/1995,,13,VA,31.2,,20,NO,YES,NO,,NO,NO,NO,1995,2014,100,3.037,0.028,48.11,0.145,0.66,1.654,7.514,0.39,934,922,0.56,,0.3,0.86,0,100,0,0,47.822553,48.015198,13,30.4,78.6,135,241.4,9.77012,5.81089,41.505648,39.26531,0.001,30,
2001,234253,Helmsdale,Kilphedir,299800,918200,NC998391,551.4,2,SEPA-NW,01/01/1974,,17,VA,103.6,,9.1,NO,YES,YES,R,YES,YES,NO,1975,2014,100,13.264,0.814,187.6,3.081,4.72,7.952,29.56,0.47,1117,1103,0.65,,0.324,0.858,0,1.188715,98.811285,0,61.742564,30.699993,17,127.4,200.3,323,689.3,5.378477,0.028051,7.110374,84.271706,0,96.8,169.704
2002,234174,Brora,Bruachrobie,289200,903900,NC891560,434.4,2,SEPA-NW,01/05/1993,,9,VA,39.3,,11,NO,YES,YES,,YES,YES,NO,1993,2014,100,12.064,0.36,229.7,1.001,3.14,6.252,30.03,0.3,1217,1189,0.59,,0.351,0.845,0,9.86996,88.836696,0,58.347931,34.234039,9,139.9,239.9,415.5,710.8,3.918201,0.00885,7.478271,86.712002,0,97.3,148.32
3001,,Shin,Lairg,258100,906200,NC581062,494.6,3,NSHE,01/01/1950,01/01/1957,81.7,VA,,,5.7,NO,YES,NO,,NO,NO,NO,1953,1957,100,15.2,0.481,116.9,2.18,5.975,10.7,33.7,0.55,1588,1580,0.78,,0.37,0.671,0,0,100,0,38.52183,44.219447,81.7,106.2,219.2,391.6,869.5,16.60279,0,12.595242,62.81778,0,99,
3002,234305,Carron,Sgodachail,249100,892200,NH491369,241.1,3,SEPA-NW,01/01/1973,,70.7,VA,161.6,,14,NO,YES,YES,H,YES,YES,NO,1974,2014,100,9.078,0.353,203.3,0.976,2.7,4.511,21.14,0.3,1785,2033,0.81,,0.436,0.974,0,0,100,0,29.354699,44.490643,70.7,215.6,427.9,679.9,952.4,4.74481,0,9.209906,82.9609,0,218.3,190.903
3003,234209,Oykel,Easter Turnaig,240300,900100,NC403050,330.7,3,SEPA-NW,01/01/1977,,15.6,VA,582.8,,14,NO,YES,YES,N,YES,YES,NO,1977,2014,100,16.309,0.321,404.9,1.074,3.854,7.952,40.81,0.22,1900,1966,0.81,2,0.359,0.915,0,0,99.989938,0,28.566474,54.559394,15.6,154.5,272.9,475.3,1005.8,8.545285,0,26.315008,63.01312,0,148.2,342.057
3004,234300,Cassley,Rosehall,247200,902100,NC471760,187.5,3,SEPA-NW,01/01/1979,,3.3,VA,51,,6,NO,YES,NO,H,NO,NO,NO,1979,2014,100,7.209,0.168,193.5,0.73,1.797,3.055,17.49,0.22,2250,2075,0.82,,0.39,0.902,0,0,100,0,30.605292,47.55669,3.3,123.6,287.9,482.2,1059.7,3.410936,0,16.592529,78.289116,0,140,
3005,234240,Shin,Inveran,257400,897400,NH574129,575,3,SEPA-NW,01/08/1981,01/07/2011,4.3,VA,80.7,,7,NO,YES,NO,H,NO,NO,NO,1981,2011,100,4.971,1.097,132,1.686,3.054,3.43,6.407,0.59,1526,1536,0.76,,0.38,0.69,0,0,100,0,38.031415,45.701283,4.3,105.2,215.6,374.8,869.5,16.75925,0,14.554169,61.70813,0,98,
4001,234284,Conon,Moy Bridge,248100,854700,NH481295,961.8,4,SEPA-NW,01/01/1947,,10,VA,185,,6,NO,YES,NO,H,NO,NO,NO,1947,2014,91.66,50.068,0.566,920,11.12,25.49,40.94,98.54,0.57,1770,1766,0.75,,0.36,0.742,0,1.614563,98.385437,0.439229,15.083749,38.950456,10,150,353.2,632.1,1099.6,9.88677,0.584188,11.297241,74.17885,0,199,
4003,234152,Alness,Alness,265500,869600,NH654676,201,4,SEPA-NW,01/01/1973,,11.9,VA,,,9,NO,YES,YES,SR,YES,YES,NO,1974,2014,100,6.241,0.324,123.1,0.97,2.245,3.779,14.06,0.43,1373,1479,0.63,,0.384,0.908,0,17.409854,82.590146,0.268561,42.474824,31.10661,11.9,192.4,409.2,577.9,835,13.356486,1.034266,13.64316,67.64984,0,147.7,81.427
4004,234186,Blackwater,Contin,245500,856300,NH455175,336.7,4,SEPA-NW,01/01/1981,01/07/2011,19.9,VA,59.2,,11.3,NO,YES,NO,H,NO,NO,NO,1981,2011,99.99,6.025,0.747,174.5,1.443,2.109,3.228,13.15,0.4,1600,1811,0.74,,0.36,0.783,0,0.000098,99.999902,0.001674,14.574263,56.030355,19.9,188.1,382.4,689.2,1082.9,13.29334,0.255523,9.952997,72.71556,0,196,
4005,234227,Meig,Glenmeanie,228600,852800,NH286495,120.5,4,SEPA-NW,01/01/1985,,120.7,VA,103.3,,13,NO,YES,YES,N,YES,YES,NO,1986,2014,100,6.886,0.157,131.8,0.578,1.712,3.381,17.22,0.26,2145,2073,0.76,,0.389,0.918,0,0,100,0,12.244255,3.816696,120.7,225,460,703.7,1052.7,5.633974,0,9.939448,83.01097,0,289,111.347
4006,234202,Bran,Dosmucheran,220500,860200,NH204636,116.1,4,SEPA-NW,01/01/1990,,118.6,VA,80.5,,13,NO,YES,YES,N,YES,YES,NO,1989,2014,100,6.935,0.138,92.07,0.554,1.735,3.619,17.53,0.28,1781,2005,0.83,,0.333,0.814,0,0,100,0,12.877493,21.555778,118.6,171.1,327.3,558.4,913.5,2.297184,0,14.357416,80.20797,0,164.6,85.372
4007,234225,Blackwater,Garve,239500,861700,NH395386,289,4,SEPA-NW,01/10/1989,,71,VA,66,,9,NO,YES,NO,,NO,NO,NO,1989,2014,98.76,4.855,0.209,98.06,1.12,1.603,2.263,10.95,0.35,1672,1755,0.75,,0.35,0.843,0,0,100,0,14.727431,55.664219,71,249.6,402.6,709.7,1082.9,9.008268,0.248584,7.803932,79.22486,0,201,
