,MAP2_mm_pa_,PH2007,MOISTURE_CONTENT_07,C_CONC_07_LOI,BULK_DENSITY_07,DR,SQ,DCA1
69,545.44,7.39,16.64739822,16.4907435,1.464890316,86.64609548,193,255
267,779.71,7.4,27.93727484,42.5345965,0.906399415,87.84574546,912,348
208,581.99,8.47,14.59759518,15.446079,1.184080913,88.62154964,592,368
111,624.15,8.53,10.60257311,12.5196555,1.529845337,125.1364424,451,286
106,569.22,8.36,18.95535564,17.716358,1.548482139,132.6784886,449,407
107,569.22,8.48,15.49879962,15.7768985,1.589139019,135.6284124,449,432
70,545.44,8.1,19.10040851,17.212789,1.451714604,147.149338,193,404
217,586.74,7.43,18.03122774,21.3664605,1.341417171,154.2041441,627,367
180,686.78,7.37,18.05672234,15.2189125,1.324431516,166.0341214,471,407
122,789.91,6.02,20.06307141,16.547542,1.253472408,166.8626441,38,396
123,789.91,7.49,20.75322439,16.7494085,1.449793186,188.2483022,38,350
128,606.53,8.28,9.315049765,17.30423109,1.496386357,191.4163795,400,270
239,637.25,6.38,17.86120221,20.9853655,1.198303176,192.875185,713,416
68,608.38,6.49,13.98576728,22.6405025,1.42760097,194.4210175,191,555
200,616.43,8.05,20.11037304,17.115857,1.146669255,197.6895352,575,313
84,709.92,8.07,20.64341724,27.084585,1.197671256,207.7406678,301,343
225,636.17,7.19,16.02092901,22.6715225,1.233688298,214.7969576,640,359
302,725.33,7.17,18.48945871,23.1806245,0.986497797,224.3329671,929,314
124,789.91,8.18,18.51760154,15.874804,1.511161321,228.2928599,38,403
240,637.25,6.57,32.04915476,27.162905,1.217798267,234.6369248,713,501
83,709.92,7.9,18.27127064,26.679939,1.420217259,248.0427584,301,446
269,1048.38,6.81,31.0347817,30.619028,1.197494987,249.5097779,926,567
201,599.71,8.16,19.85534542,20.482605,1.40296836,251.7441403,577,557
182,686.78,6.51,14.88115771,13.864213,1.207209764,263.4473972,471,289
286,669.33,6.27,17.54412437,18.350695,1.204886599,268.4815972,827,419
214,681.67,7.3,22.13482282,20.8264485,1.532872697,272.8960653,604,441
